ResearcherName,FieldOfResearch,TopicName,Percentage
Andhika Estiyono,Engineering,Electric Car,100.0
Andhika Estiyono,Engineering,Engineering,50.0
Andhika Estiyono,Engineering,Ergonomics,50.0
Andhika Estiyono,Engineering,Internal Combustion Engine,50.0
Andhika Estiyono,Engineering,Lithium Ion Battery,25.0
Andhika Estiyono,Engineering,Front Wheel,25.0
Andhika Estiyono,Engineering,Passenger Cars,25.0
Andhika Estiyono,Engineering,Design Result,25.0
Andhika Estiyono,Engineering,Wheelbase,25.0
Andhika Estiyono,Engineering,Headlamp,25.0
Andhika Estiyono,Engineering,Part Design,25.0
Andhika Estiyono,Engineering,Energy Crisis,25.0
Andhika Estiyono,Engineering,Electrical Technology,25.0
Andhika Estiyono,Engineering,Fuel Energy,25.0
Andhika Estiyono,Engineering,Body Part,25.0
Andhika Estiyono,Engineering,Electric Motor,25.0
Andhika Estiyono,Engineering,Scale Model,25.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Pollution,100.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Conditioning,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Filter,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Conditioning System,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Frame,60.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Energy Engineering,55.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Ergonomics,50.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Apartment Building,44.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Coefficient of Performance,43.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Airflow Pattern,41.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Road,40.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Unit,37.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Prototype,35.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Static Loading,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Bicycle Frame,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Simulation,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Thermal Comfort,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Alternative,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Thermal Simulation,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Operational Cost,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Method,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Pressure Drop,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Construction,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Drive System,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Cooling Load,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computational Fluid Dynamics,24.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Engineering,20.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Finite Element Simulation,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Velocity,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Effective Solution,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Minimum Standard,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Process,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Technological Development,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Exhaust Gas,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Pipe Diameter,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Input Value,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Measurement,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Product Design,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Engineering Analysis,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Engineering,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Patent Right,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Problem Statement,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Manufacturing,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Finite Element Analysis,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Construction Engineering,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Design,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Industry,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Energy Conservation,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Flow Pattern,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Flow,
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,dataFT KBD.xlsx,
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Product design techniques,
Ari Dwi Krisbianto, S.T., M.Ds.,Engineering,Frame,100.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Distance vector according to ad hoc request,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Encrypted data,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Internet connection,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Computer hardware,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Advanced encryption standards,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Parallel computer,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Face recognition,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Graphic Processing Unit,50.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Hard drive,37.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Algorithm performance,37.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Robot navigation,33.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,An introduction,33.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Classification algorithm,33.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Wireless network,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Hash function,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Service technology,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Data integrity,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Server Basis Data,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Cloud technology,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Application service,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Critical surgery,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Integrity verification,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Cloud service provider,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Cyber ​​attack,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Cloud computing,25.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Parallel process,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Real time system,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Introduction,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Human interaction,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Computer interaction,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Acceleration,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Function Analysis,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Feature extraction,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,face picture,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,The width of the memory tape,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,System response,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Time complexity,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Computer architecture,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Large database,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Parallelisasi,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Video surveillance,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Wavelet transformation,16.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Storage system,12.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Application benchmarks,12.0
"Wahyu Suadi, Dr., S.Kom., MM., M.Kom.",Ilmu Komputer,Simulation mode,12.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Linear equation,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Representation component,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Web service,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Block chain,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Dangerous software,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Artificial neural networks,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Source code,75.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Bitcoin,66.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Decision tree,66.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Memory allocation,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Performance test,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Efficient implementation,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Characteristic function,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Case study,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Matrix multiplication,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Random Decision Forest,33.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Detection method,33.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Machine learning techniques,33.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Crypto currency,33.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,A model of deep learning,33.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Introduction problem,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Introduction to optical characters,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Solution design,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Genetic algorithm,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Nave Bay,16.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Classification process,16.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Data sample,16.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Class imbalance,16.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Classification algorithm,16.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Ilmu Komputer,Nerve network,16.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Artificial neural networks,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Linear equation,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Matrix multiplication,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,The introduction of a picture,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Efficient implementation,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Characteristic function,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Computing technique,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Performance test,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Memory allocation,50.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Introduction problem,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Introduction to optical characters,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Noisy picture,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Consumption process,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Rekayasa,Genetic algorithm,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Periodic function,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Linear equation system,100.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Standard deviation,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Average arithmetic,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Model testing,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Matrix multiplication,25.0
"Misbakhul Munir Irfan Subakti, Ir., S.Kom., M.Sc., M.Phil.",Matematika,Integral,
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Convolutionary nerve network,100.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Feature extraction,75.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,In -depth learning methods,63.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Face recognition,42.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Supporting vector machine,38.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Image classification,30.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Texture feature,26.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Computer vision,25.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Tumor segmentation,25.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Ultrasonographic image,25.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Experimental results,25.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,The introduction of sign language,24.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,The addition of data,21.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Introduction to expression,20.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Wavelet transformation,19.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Classification method,19.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Annotation,18.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,An upgrade of pictures,18.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Facial expression,17.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Image segmentation,17.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Generative adversarial network,16.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Color features,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Cultural heritage,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Object detection,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,3D Reconstruction,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Taking pictures,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Event matrix,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Character recognition,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Training data,14.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,An introduction,14.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Long -term memory network,13.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Residual nerve networks,12.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Graphic Conversional Network,12.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Yolov,512.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Introduction accuracy,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Classification performance,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Feature vector,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Nerve network,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Detection method,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Data creation,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Reality added,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Picture of rgb,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Training process,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Grouping of K-Means,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Image synthesis,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Microscopic image,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Color correction,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Average accuracy,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Mixture reality,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Caption,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,dataFT EIC.xlsx,
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Ilmu Komputer,Informatics Department,
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Feature extraction,62.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Convolutionary nerve network,46.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,In -depth learning methods,37.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Supporting vector machine,33.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Image classification,24.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Gray level,22.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Texture feature,22.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Histogram,19.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,The co-emergence matrix,17.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Experimental results,17.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Isolation Method,16.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Feature vector,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Face picture,15.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Similarity,13.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Classification method,12.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Closest neighbor,11.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Color correction,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Image synthesis,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Kurva Spline,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Local binary pattern,10.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Extracted features,9.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,An upgrade of pictures,8.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Reality added,8.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Leukocytes,7.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,A gray scale picture,7.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Control point,7.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Learning Approach,7.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Edge detection,7.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Identification,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Classification performance,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Filtering,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Re -retrieval system,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Medical image,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Color space,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Image processing,6.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Picture of rgb,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Connected components,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,The gray scale,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Image data,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Reference image,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Edge information,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Transverse pieces,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Storage capacity,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Segmentation Method,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,End point,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Virtual reality,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Optimization of particles,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Inner surface,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Saturation value,5.0
"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.",Rekayasa,Fitness,5.0
